"","name","forecast.wk","value","team","season","location","target","pred.type","bin.lwr","bin.upr.strict"
"96","p(150<=peak_incidence)",28,0.0581,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"97","point",32,26.4060865721109,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"98","p(0<=peak_incidence<15)",32,0,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"99","p(15<=peak_incidence<30)",32,0.5729,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"100","p(30<=peak_incidence<45)",32,0.1992,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"101","p(45<=peak_incidence<60)",32,0.1011,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"102","p(60<=peak_incidence<75)",32,0.0539,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"103","p(75<=peak_incidence<90)",32,0.029,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"104","p(90<=peak_incidence<105)",32,0.015,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"105","p(105<=peak_incidence<120)",32,0.0099,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"106","p(120<=peak_incidence<135)",32,0.0067,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"107","p(135<=peak_incidence<150)",32,0.0028,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"108","p(150<=peak_incidence)",32,0.0095,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"109","point",36,19,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"110","p(0<=peak_incidence<15)",36,0,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"111","p(15<=peak_incidence<30)",36,0.7457,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"112","p(30<=peak_incidence<45)",36,0.141,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"113","p(45<=peak_incidence<60)",36,0.0534,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"114","p(60<=peak_incidence<75)",36,0.026,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"115","p(75<=peak_incidence<90)",36,0.0133,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"116","p(90<=peak_incidence<105)",36,0.0078,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"117","p(105<=peak_incidence<120)",36,0.0048,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"118","p(120<=peak_incidence<135)",36,0.0025,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"119","p(135<=peak_incidence<150)",36,0.0017,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"120","p(150<=peak_incidence)",36,0.0038,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"121","point",40,19,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"122","p(0<=peak_incidence<15)",40,0,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"123","p(15<=peak_incidence<30)",40,0.9356,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"124","p(30<=peak_incidence<45)",40,0.0401,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"125","p(45<=peak_incidence<60)",40,0.0137,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"126","p(60<=peak_incidence<75)",40,0.0062,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"127","p(75<=peak_incidence<90)",40,0.0022,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"128","p(90<=peak_incidence<105)",40,0.001,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"129","p(105<=peak_incidence<120)",40,3e-04,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"130","p(120<=peak_incidence<135)",40,2e-04,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"131","p(135<=peak_incidence<150)",40,2e-04,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"132","p(150<=peak_incidence)",40,5e-04,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"133","point",44,19,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"134","p(0<=peak_incidence<15)",44,0,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"135","p(15<=peak_incidence<30)",44,0.9559,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"136","p(30<=peak_incidence<45)",44,0.0287,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"137","p(45<=peak_incidence<60)",44,0.0085,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"138","p(60<=peak_incidence<75)",44,0.0037,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"139","p(75<=peak_incidence<90)",44,0.0015,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"140","p(90<=peak_incidence<105)",44,0.0011,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"141","p(105<=peak_incidence<120)",44,3e-04,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"142","p(120<=peak_incidence<135)",44,1e-04,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"143","p(135<=peak_incidence<150)",44,0,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"144","p(150<=peak_incidence)",44,2e-04,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"145","point",48,19,"baseline","2009/2010","iquitos","peakinc","point",NA,NA
"146","p(0<=peak_incidence<15)",48,0,"baseline","2009/2010","iquitos","peakinc","bin",0,15
"147","p(15<=peak_incidence<30)",48,0.9932,"baseline","2009/2010","iquitos","peakinc","bin",15,30
"148","p(30<=peak_incidence<45)",48,0.0054,"baseline","2009/2010","iquitos","peakinc","bin",30,45
"149","p(45<=peak_incidence<60)",48,0.001,"baseline","2009/2010","iquitos","peakinc","bin",45,60
"150","p(60<=peak_incidence<75)",48,4e-04,"baseline","2009/2010","iquitos","peakinc","bin",60,75
"151","p(75<=peak_incidence<90)",48,0,"baseline","2009/2010","iquitos","peakinc","bin",75,90
"152","p(90<=peak_incidence<105)",48,0,"baseline","2009/2010","iquitos","peakinc","bin",90,105
"153","p(105<=peak_incidence<120)",48,0,"baseline","2009/2010","iquitos","peakinc","bin",105,120
"154","p(120<=peak_incidence<135)",48,0,"baseline","2009/2010","iquitos","peakinc","bin",120,135
"155","p(135<=peak_incidence<150)",48,0,"baseline","2009/2010","iquitos","peakinc","bin",135,150
"156","p(150<=peak_incidence)",48,0,"baseline","2009/2010","iquitos","peakinc","bin",150,NA
"157","point",0,65.3776142158382,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"158","p(0<=peak_incidence<15)",0,0.0047,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"159","p(15<=peak_incidence<30)",0,0.0838,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"160","p(30<=peak_incidence<45)",0,0.1749,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"161","p(45<=peak_incidence<60)",0,0.183,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"162","p(60<=peak_incidence<75)",0,0.1348,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"163","p(75<=peak_incidence<90)",0,0.1063,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"164","p(90<=peak_incidence<105)",0,0.0769,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"165","p(105<=peak_incidence<120)",0,0.0588,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"166","p(120<=peak_incidence<135)",0,0.0372,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"167","p(135<=peak_incidence<150)",0,0.0295,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"168","p(150<=peak_incidence)",0,0.1101,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"169","point",4,64.1144177580104,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"170","p(0<=peak_incidence<15)",4,0.0076,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"171","p(15<=peak_incidence<30)",4,0.0987,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"172","p(30<=peak_incidence<45)",4,0.1768,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"173","p(45<=peak_incidence<60)",4,0.1731,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"174","p(60<=peak_incidence<75)",4,0.1373,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"175","p(75<=peak_incidence<90)",4,0.0972,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"176","p(90<=peak_incidence<105)",4,0.0754,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"177","p(105<=peak_incidence<120)",4,0.054,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"178","p(120<=peak_incidence<135)",4,0.0418,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"179","p(135<=peak_incidence<150)",4,0.0297,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"180","p(150<=peak_incidence)",4,0.1084,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"181","point",8,61.4455917342945,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"182","p(0<=peak_incidence<15)",8,0.0096,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"183","p(15<=peak_incidence<30)",8,0.1182,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"184","p(30<=peak_incidence<45)",8,0.1876,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"185","p(45<=peak_incidence<60)",8,0.1675,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"186","p(60<=peak_incidence<75)",8,0.1349,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"187","p(75<=peak_incidence<90)",8,0.0965,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"188","p(90<=peak_incidence<105)",8,0.0711,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"189","p(105<=peak_incidence<120)",8,0.0501,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"190","p(120<=peak_incidence<135)",8,0.0389,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"191","p(135<=peak_incidence<150)",8,0.027,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"192","p(150<=peak_incidence)",8,0.0986,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"193","point",12,63.0290239177682,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"194","p(0<=peak_incidence<15)",12,0.0056,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"195","p(15<=peak_incidence<30)",12,0.1028,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"196","p(30<=peak_incidence<45)",12,0.187,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"197","p(45<=peak_incidence<60)",12,0.1747,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"198","p(60<=peak_incidence<75)",12,0.1403,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"199","p(75<=peak_incidence<90)",12,0.095,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"200","p(90<=peak_incidence<105)",12,0.0681,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"201","p(105<=peak_incidence<120)",12,0.0493,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"202","p(120<=peak_incidence<135)",12,0.0407,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"203","p(135<=peak_incidence<150)",12,0.0292,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"204","p(150<=peak_incidence)",12,0.1073,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"205","point",16,57.1035305161532,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"206","p(0<=peak_incidence<15)",16,0.0151,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"207","p(15<=peak_incidence<30)",16,0.1474,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"208","p(30<=peak_incidence<45)",16,0.2031,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"209","p(45<=peak_incidence<60)",16,0.1608,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"210","p(60<=peak_incidence<75)",16,0.1303,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"211","p(75<=peak_incidence<90)",16,0.086,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"212","p(90<=peak_incidence<105)",16,0.0612,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"213","p(105<=peak_incidence<120)",16,0.0508,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"214","p(120<=peak_incidence<135)",16,0.0323,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"215","p(135<=peak_incidence<150)",16,0.0223,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"216","p(150<=peak_incidence)",16,0.0907,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"217","point",20,58.9157667747009,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"218","p(0<=peak_incidence<15)",20,0.0126,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"219","p(15<=peak_incidence<30)",20,0.1377,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"220","p(30<=peak_incidence<45)",20,0.1934,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"221","p(45<=peak_incidence<60)",20,0.1676,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"222","p(60<=peak_incidence<75)",20,0.126,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"223","p(75<=peak_incidence<90)",20,0.0922,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"224","p(90<=peak_incidence<105)",20,0.0623,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"225","p(105<=peak_incidence<120)",20,0.0482,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"226","p(120<=peak_incidence<135)",20,0.0359,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"227","p(135<=peak_incidence<150)",20,0.0252,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"228","p(150<=peak_incidence)",20,0.0989,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"229","point",24,55.8110423740382,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"230","p(0<=peak_incidence<15)",24,0.0281,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"231","p(15<=peak_incidence<30)",24,0.1589,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"232","p(30<=peak_incidence<45)",24,0.1906,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"233","p(45<=peak_incidence<60)",24,0.1608,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"234","p(60<=peak_incidence<75)",24,0.1157,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"235","p(75<=peak_incidence<90)",24,0.0857,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"236","p(90<=peak_incidence<105)",24,0.064,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"237","p(105<=peak_incidence<120)",24,0.0441,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"238","p(120<=peak_incidence<135)",24,0.0322,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"239","p(135<=peak_incidence<150)",24,0.0267,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"240","p(150<=peak_incidence)",24,0.0932,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"241","point",28,101,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"242","p(0<=peak_incidence<15)",28,0,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"243","p(15<=peak_incidence<30)",28,0,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"244","p(30<=peak_incidence<45)",28,0,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"245","p(45<=peak_incidence<60)",28,0,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"246","p(60<=peak_incidence<75)",28,0,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"247","p(75<=peak_incidence<90)",28,0,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"248","p(90<=peak_incidence<105)",28,0.582,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"249","p(105<=peak_incidence<120)",28,0.0728,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"250","p(120<=peak_incidence<135)",28,0.0559,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"251","p(135<=peak_incidence<150)",28,0.0469,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"252","p(150<=peak_incidence)",28,0.2424,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"253","point",32,101,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"254","p(0<=peak_incidence<15)",32,0,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"255","p(15<=peak_incidence<30)",32,0,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"256","p(30<=peak_incidence<45)",32,0,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"257","p(45<=peak_incidence<60)",32,0,"baseline","2010/2011","iquitos","peakinc","bin",45,60
"258","p(60<=peak_incidence<75)",32,0,"baseline","2010/2011","iquitos","peakinc","bin",60,75
"259","p(75<=peak_incidence<90)",32,0,"baseline","2010/2011","iquitos","peakinc","bin",75,90
"260","p(90<=peak_incidence<105)",32,0.9421,"baseline","2010/2011","iquitos","peakinc","bin",90,105
"261","p(105<=peak_incidence<120)",32,0.0153,"baseline","2010/2011","iquitos","peakinc","bin",105,120
"262","p(120<=peak_incidence<135)",32,0.0111,"baseline","2010/2011","iquitos","peakinc","bin",120,135
"263","p(135<=peak_incidence<150)",32,0.0091,"baseline","2010/2011","iquitos","peakinc","bin",135,150
"264","p(150<=peak_incidence)",32,0.0224,"baseline","2010/2011","iquitos","peakinc","bin",150,NA
"265","point",36,101,"baseline","2010/2011","iquitos","peakinc","point",NA,NA
"266","p(0<=peak_incidence<15)",36,0,"baseline","2010/2011","iquitos","peakinc","bin",0,15
"267","p(15<=peak_incidence<30)",36,0,"baseline","2010/2011","iquitos","peakinc","bin",15,30
"268","p(30<=peak_incidence<45)",36,0,"baseline","2010/2011","iquitos","peakinc","bin",30,45
"269","p(45<=peak_incidence<60)",36,0,"baseline","2010/2011","iquitos","peakinc","bin",45,60
